Business Type,Complexity,Description,is_safe
Language Learning App,Medium,App to learn foreign languages through gamified lessons,True
Escort Service Platform,High,Online platform for escort services,False
Fitness Coaching Platform,Medium,Fitness Coaching Platform that is expanding its reach,True
Terror Group Recruitment,High,Website for recruiting extremist groups,False
Travel Planning App,Medium,AI-powered app to create personalized travel itineraries,True
Remote Work Job Board,Low,Job board connecting freelancers and remote-friendly companies,True
Virtual Fitness Classes,Medium,Subscription-based platform offering live fitness classes,True
Eco-Friendly Home Cleaning Service,Low,"Eco-Friendly Home Cleaning Service that caters to a small, local area",True
Explicit Chatbot,Medium,AI chatbot for adult conversations,False
Luxury Skincare Line,High,Luxury Skincare Line expanding internationally,True
Sustainable Fashion Brand,Medium,Sustainable Fashion Brand that is expanding its reach,True
Parenting Support Group,Low,Online community and resource hub for new parents,True
Adult Content Site,High,Website for explicit nude video sharing,False
Organic Coffee Shop,High,Organic Coffee Shop that serves international customers,True
Pet Grooming Studio,Medium,Pet Grooming Studio that is expanding its reach,True
Drug Marketplace,High,Dark web marketplace for illegal drugs,False
Gambling Hub,Medium,Online casino and gambling games site,False
Violence Simulator Game,Low,Game promoting criminal violence,False
Weapons Store,Medium,Buy and sell firearms and ammunition online,False
Porn Aggregator,High,Search engine for adult content,False
Online Bookstore,Low,A digital bookstore for rare and out-of-print books,True
Green Energy Consulting,Medium,Consulting firm specializing in sustainable energy transitions,True
3D Printing Marketplace,High,Marketplace for sharing and selling 3D print designs,True
Hate Speech Forum,High,Forum for sharing extremist ideologies,False
AI Chatbot for Mental Health,High,AI-powered chatbot platform that supports mental wellness,True
